id,title,category,creator__id,owner__id,division,school,created_time,last_access_time,access count,filename,location,filesize,description,keywords,resource type,resource subtype,language,digital format,copyright,source,terms of use,expiry date,publisher,details
247673,Maths Chapter Meeting 14 Aug,"E-Ones,Teacher Growth Model,Competent Professional  (Deepening Knowledge and Practice in Academic Curriculum)",5201,5201,,,8/3/2013 18:11,12/10/2019 12:35,354,MathPosing.jpg,/library/Professional Development/E-Ones/247673_MathPosing.jpg,78902,Slide to inform,Maths Chapter Meeting,,,EN,Image,MOE Singapore,,,,,
253198,Test 1,E-Ones,1032179,1032179,,,1/3/2014 16:37,7/28/2016 15:30,4,Inspiring Generations i d e a 2 tds 2013_cleared.ppt,/library/Professional Development/E-Ones/253198_Inspiring Generations i d e a 2 tds 2013_cleared.ppt,22951936,123,,,,EN,Text,MOE Singapore,,,,,
