id,title,category,creator__id,owner__id,division,school,created_time,last_access_time,access count,filename,location,filesize,description,keywords,resource type,resource subtype,language,digital format,copyright,source,terms of use,expiry date,publisher,details
253204,Test 1,"HR, Finance, Ops & Admin/Administration",1032179,1032179,,,1/3/2014 17:24,7/28/2016 15:30,6,Inspiring Generations i d e a 2 tds 2013_cleared.ppt,"/library/HR, Finance, Ops & Admin/Administration/253204_Inspiring Generations i d e a 2 tds 2013_cleared.ppt",22951936,123,,,,EN,Text,MOE Singapore,,,,,
265152,Test 2,"HR, Finance, Ops & Admin/Administration",1041338,1041338,,,10/3/2016 10:09,12/10/2019 13:11,4,20151112_081915.jpg,"/library/HR, Finance, Ops & Admin/Administration/265152_20151112_081915.jpg",1274654,test,,Text,,EN,Image,"Copyright © MOE, Singapore",,,,,
