id,title,category,creator__id,owner__id,division,school,created_time,last_access_time,access count,filename,location,filesize,description,keywords,resource type,resource subtype,language,digital format,copyright,source,terms of use,expiry date,publisher,details
265151,Test 2,Partners and Engagement/Communications & Engagement Resources for Schools,1041338,1041338,,,10/3/2016 10:09,12/9/2019 17:18,1,20151112_081915.jpg,/library/Partners and Engagement/Communications & Engagement Resources for Schools/265151_20151112_081915.jpg,1274654,test,,Text,,EN,Image,"Copyright © MOE, Singapore",,,,,
249881,Partnering Community ,Partners and Engagement/Partnering Community,1007888,1007888,,,9/30/2013 15:40,10/28/2019 13:54,185,Chapter 6.pdf,/library/Partners and Engagement/Partnering Community/249881_Chapter 6.pdf,886405,"It focuses on the school-community partnerships to deepen 
students' learning and development. It includes information on the role of community partners, the rules  of engagment and good stories on community engagement.
",Community,Text,,EN,Text,MOE Singapore,,,,,
