"ID","aggregate__id","title","isHL","content","type","url","res_slot","res_label","owner__id","ctime"
"66","26","","","New Calendar Event Posted - test","text","","","","1030568","2012-08-02 17:11:11"
"362","9","","0","Hi Cynthia,
Thank you for creating this group.
I am sure we will have lots of sharing.:)","text","","","","1039074","2012-11-01 13:14:41"
